cajero,longitud,tick
Cajero_11_11,0,90
Cajero_11_11,0,91
Cajero_11_11,0,92
Cajero_11_11,0,93
Cajero_11_11,0,94
Cajero_11_11,0,95
Cajero_11_11,0,96
Cajero_11_11,0,97
Cajero_11_11,0,98
Cajero_11_11,0,99
Cajero_11_11,1,100
Cajero_11_11,1,101
Cajero_11_11,1,102
Cajero_11_11,1,103
Cajero_11_11,2,104
Cajero_11_11,2,105
Cajero_11_11,2,106
Cajero_11_11,1,107
Cajero_11_11,1,108
Cajero_11_11,1,109
Cajero_11_11,1,110
Cajero_11_11,1,111
Cajero_11_11,1,112
Cajero_11_11,1,113
Cajero_11_11,1,114
Cajero_11_11,0,115
Cajero_11_11,0,116
Cajero_11_11,0,117
Cajero_11_11,0,118
Cajero_11_11,0,119
Cajero_11_11,0,120
Cajero_11_11,0,121
Cajero_11_11,0,122
Cajero_11_11,0,123
Cajero_11_11,0,124
Cajero_11_11,0,125
Cajero_11_11,0,126
Cajero_11_11,0,127
Cajero_11_11,0,128
Cajero_11_11,0,129
Cajero_11_11,0,130
Cajero_11_11,0,131
Cajero_11_11,0,132
Cajero_11_11,0,133
Cajero_11_11,0,134
Cajero_11_11,0,135
Cajero_11_11,0,136
Cajero_11_11,0,137
Cajero_11_11,0,138
Cajero_11_11,0,139
Cajero_11_11,0,140
Cajero_11_11,0,141
Cajero_11_11,0,142
Cajero_11_11,0,143
Cajero_11_11,0,144
Cajero_11_11,0,145
Cajero_11_11,0,146
Cajero_11_11,0,147
Cajero_11_11,0,148
Cajero_11_11,0,149
Cajero_11_11,0,150
Cajero_11_11,0,151
Cajero_11_11,0,152
Cajero_11_11,0,153
Cajero_11_11,0,154
