cajero,tick,utilizacion
Cajero_11_10,83,0
Cajero_11_10,84,0
Cajero_11_10,85,0
Cajero_11_10,86,0
Cajero_11_10,87,0
Cajero_11_10,88,0
Cajero_11_10,89,0
Cajero_11_10,90,0
Cajero_11_10,91,0
Cajero_11_10,92,0
Cajero_11_10,93,0
Cajero_11_10,94,0
Cajero_11_10,95,0
Cajero_11_10,96,0
Cajero_11_10,97,0
Cajero_11_10,98,0
Cajero_11_10,99,0
Cajero_11_10,100,0
Cajero_11_10,101,0
Cajero_11_10,102,0
Cajero_11_10,103,0
Cajero_11_10,104,0
Cajero_11_10,105,0
Cajero_11_10,106,0
Cajero_11_10,107,0
Cajero_11_10,108,0
Cajero_11_10,109,0
Cajero_11_10,110,0
Cajero_11_10,111,0
Cajero_11_10,112,0
Cajero_11_10,113,0
Cajero_11_10,114,0
Cajero_11_10,115,0
Cajero_11_10,116,0
Cajero_11_10,117,0
Cajero_11_10,118,0
Cajero_11_10,119,0
Cajero_11_10,120,0
Cajero_11_10,121,0
Cajero_11_10,122,0
Cajero_11_10,123,0
Cajero_11_10,124,0
Cajero_11_10,125,0
Cajero_11_10,126,0
Cajero_11_10,127,0
Cajero_11_10,128,0
Cajero_11_10,129,0
Cajero_11_10,130,0
Cajero_11_10,131,0
Cajero_11_10,132,0
Cajero_11_10,133,0
Cajero_11_10,134,0
Cajero_11_10,135,0
Cajero_11_10,136,0
Cajero_11_10,137,0
Cajero_11_10,138,0
Cajero_11_10,139,0
Cajero_11_10,140,0
Cajero_11_10,141,0
Cajero_11_10,142,0
Cajero_11_10,143,0
Cajero_11_10,144,0
Cajero_11_10,145,1
Cajero_11_10,146,1
Cajero_11_10,147,1
Cajero_11_10,148,1
Cajero_11_10,149,0
Cajero_11_10,150,0
Cajero_11_10,151,0
Cajero_11_10,152,0
Cajero_11_10,153,0
Cajero_11_10,154,0
Cajero_11_10,155,0
Cajero_11_10,156,0
Cajero_11_10,157,0
Cajero_11_10,158,0
Cajero_11_10,159,0
Cajero_11_10,160,0
Cajero_11_10,161,0
Cajero_11_10,162,0
Cajero_11_10,163,0
Cajero_11_10,164,0
Cajero_11_10,165,0
Cajero_11_10,166,0
Cajero_11_10,167,0
Cajero_11_10,168,0
Cajero_11_10,169,0
Cajero_11_10,170,0
Cajero_11_10,171,0
Cajero_11_10,172,0
Cajero_11_10,173,0
Cajero_11_10,174,0
Cajero_11_10,175,0
